"filename", "language", "Java", "JSON", "XML", "Python", "JavaScript", "CSS", "HTML", "Markdown", "comment", "blank", "total"
"/Users/hei/IdeaProjects/fyp/lessons_raw/10-polymorphism.json", "JSON", 0, 230, 0, 0, 0, 0, 0, 0, 0, 0, 230
"/Users/hei/IdeaProjects/fyp/lessons_raw/11-Abstract Class and Interface and Lambda.json", "JSON", 0, 194, 0, 0, 0, 0, 0, 0, 0, 0, 194
"/Users/hei/IdeaProjects/fyp/lessons_raw/R01-recursion.json", "JSON", 0, 94, 0, 0, 0, 0, 0, 0, 0, 0, 94
"/Users/hei/IdeaProjects/fyp/models.py", "Python", 0, 0, 0, 11, 0, 0, 0, 0, 0, 4, 15
"/Users/hei/IdeaProjects/fyp/oracle_java_tutorials_clean.json", "JSON", 0, 23371, 0, 0, 0, 0, 0, 0, 0, 0, 23371
"/Users/hei/IdeaProjects/fyp/practical_tests/set1/base/PaperScissorsRock.java", "Java", 37, 0, 0, 0, 0, 0, 0, 0, 20, 16, 73
"/Users/hei/IdeaProjects/fyp/practical_tests/set1/base/Question1.java", "Java", 31, 0, 0, 0, 0, 0, 0, 0, 4, 19, 54
"/Users/hei/IdeaProjects/fyp/practical_tests/set1/base/Question2.java", "Java", 2, 0, 0, 0, 0, 0, 0, 0, 1, 0, 3
"/Users/hei/IdeaProjects/fyp/practical_tests/set1/base/Question3.java", "Java", 2, 0, 0, 0, 0, 0, 0, 0, 1, 3, 6
"/Users/hei/IdeaProjects/fyp/practical_tests/set1/questions/q1.json", "JSON", 0, 219, 0, 0, 0, 0, 0, 0, 0, 1, 220
"/Users/hei/IdeaProjects/fyp/practical_tests/set1/questions/q2.json", "JSON", 0, 25, 0, 0, 0, 0, 0, 0, 0, 1, 26
"/Users/hei/IdeaProjects/fyp/practical_tests/set1/questions/q3.json", "JSON", 0, 21, 0, 0, 0, 0, 0, 0, 0, 1, 22
"/Users/hei/IdeaProjects/fyp/practical_tests/set1/readme.html", "HTML", 0, 0, 0, 0, 0, 0, 581, 0, 0, 48, 629
"/Users/hei/IdeaProjects/fyp/practical_tests/set1/solution/DynamicArray.java", "Java", 67, 0, 0, 0, 0, 0, 0, 0, 0, 10, 77
"/Users/hei/IdeaProjects/fyp/practical_tests/set1/solution/PaperScissorsRock.java", "Java", 101, 0, 0, 0, 0, 0, 0, 0, 9, 12, 122
"/Users/hei/IdeaProjects/fyp/practical_tests/set1/solution/Questioin2.java", "Java", 62, 0, 0, 0, 0, 0, 0, 0, 19, 8, 89
"/Users/hei/IdeaProjects/fyp/practical_tests/set1/solution/Question1.java", "Java", 61, 0, 0, 0, 0, 0, 0, 0, 3, 16, 80
"/Users/hei/IdeaProjects/fyp/practical_tests/set1/solution/Sudoku.java", "Java", 261, 0, 0, 0, 0, 0, 0, 0, 104, 38, 403
"/Users/hei/IdeaProjects/fyp/rag_backend.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/hei/IdeaProjects/fyp/test.py", "Python", 0, 0, 0, 9, 0, 0, 0, 0, 0, 3, 12
"/Users/hei/IdeaProjects/fyp/tutor.py", "Python", 0, 0, 0, 80, 0, 0, 0, 0, 5, 14, 99
"Total", "-", 624, 45600, 32, 633, 1205, 45, 601, 38, 225, 484, 49487
