"filename", "language", "JavaScript", "XML", "JSON", "CSS", "HTML", "Python", "comment", "blank", "total"
"/Users/hei/IdeaProjects/fyp/frontend/src/ragDocMapping.js", "JavaScript", 273, 0, 0, 0, 0, 0, 2, 25, 300
"/Users/hei/IdeaProjects/fyp/frontend/src/reportWebVitals.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 2, 14
"/Users/hei/IdeaProjects/fyp/frontend/src/server.js", "JavaScript", 36, 0, 0, 0, 0, 0, 1, 11, 48
"/Users/hei/IdeaProjects/fyp/frontend/src/setupTests.js", "JavaScript", 1, 0, 0, 0, 0, 0, 4, 1, 6
"/Users/hei/IdeaProjects/fyp/frontend/tailwind.config.js", "JavaScript", 9, 0, 0, 0, 0, 0, 1, 0, 10
"/Users/hei/IdeaProjects/fyp/routers/lessons.py", "Python", 0, 0, 0, 0, 0, 429, 38, 88, 555
"/Users/hei/IdeaProjects/fyp/test.py", "Python", 0, 0, 0, 0, 0, -8, 0, -3, -11
"/Users/hei/IdeaProjects/fyp/vectorstore/extract_from_faiss.py", "Python", 0, 0, 0, 0, 0, 409, 27, 60, 496
"/Users/hei/IdeaProjects/fyp/vectorstore/faiss_summary.json", "JSON", 0, 0, 766, 0, 0, 0, 0, 0, 766
"/Users/hei/IdeaProjects/fyp/vectorstore/ragDocMapping.js", "JavaScript", 273, 0, 0, 0, 0, 0, 2, 25, 300
"Total", "-", 1073, 0, 766, 0, 0, 830, 50, 250, 2969
