"filename", "language", "Python", "pip requirements", "JavaScript", "JSON", "XML", "CSS", "Java", "HTML", "Markdown", "comment", "blank", "total"
"/Users/hei/IdeaProjects/fyp/lessons_raw/08-Interitance-Part 1.json", "JSON", 0, 0, 0, 254, 0, 0, 0, 0, 0, 0, 0, 254
"/Users/hei/IdeaProjects/fyp/lessons_raw/09-Interitance-Part 2.json", "JSON", 0, 0, 0, 194, 0, 0, 0, 0, 0, 0, 0, 194
"/Users/hei/IdeaProjects/fyp/lessons_raw/10-polymorphism.json", "JSON", 0, 0, 0, 230, 0, 0, 0, 0, 0, 0, 0, 230
"/Users/hei/IdeaProjects/fyp/lessons_raw/11-Abstract Class and Interface and Lambda.json", "JSON", 0, 0, 0, 194, 0, 0, 0, 0, 0, 0, 0, 194
"/Users/hei/IdeaProjects/fyp/lessons_raw/R01-recursion.json", "JSON", 0, 0, 0, 94, 0, 0, 0, 0, 0, 0, 0, 94
"/Users/hei/IdeaProjects/fyp/main.py", "Python", 125, 0, 0, 0, 0, 0, 0, 0, 0, 18, 17, 160
"/Users/hei/IdeaProjects/fyp/models.py", "Python", 108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 132
"/Users/hei/IdeaProjects/fyp/practical_tests/set1/base/PaperScissorsRock.java", "Java", 0, 0, 0, 0, 0, 0, 37, 0, 0, 20, 16, 73
"/Users/hei/IdeaProjects/fyp/practical_tests/set1/base/Puzzle.java", "Java", 0, 0, 0, 0, 0, 0, 31, 0, 0, 4, 19, 54
"/Users/hei/IdeaProjects/fyp/practical_tests/set1/base/Question2.java", "Java", 0, 0, 0, 0, 0, 0, 2, 0, 0, 1, 0, 3
"/Users/hei/IdeaProjects/fyp/practical_tests/set1/base/Question3.java", "Java", 0, 0, 0, 0, 0, 0, 2, 0, 0, 1, 3, 6
"/Users/hei/IdeaProjects/fyp/practical_tests/set1/questions/Q1.json", "JSON", 0, 0, 0, 219, 0, 0, 0, 0, 0, 0, 1, 220
"/Users/hei/IdeaProjects/fyp/practical_tests/set1/solution/DynamicArray.java", "Java", 0, 0, 0, 0, 0, 0, 67, 0, 0, 0, 10, 77
"/Users/hei/IdeaProjects/fyp/practical_tests/set1/solution/PaperScissorsRock.java", "Java", 0, 0, 0, 0, 0, 0, 101, 0, 0, 9, 12, 122
"/Users/hei/IdeaProjects/fyp/practical_tests/set1/solution/Questioin2.java", "Java", 0, 0, 0, 0, 0, 0, 62, 0, 0, 19, 8, 89
"/Users/hei/IdeaProjects/fyp/practical_tests/set1/solution/Question1.java", "Java", 0, 0, 0, 0, 0, 0, 61, 0, 0, 3, 16, 80
"/Users/hei/IdeaProjects/fyp/practical_tests/set1/solution/Sudoku.java", "Java", 0, 0, 0, 0, 0, 0, 261, 0, 0, 104, 38, 403
"/Users/hei/IdeaProjects/fyp/rag_system.py", "Python", 169, 0, 0, 0, 0, 0, 0, 0, 0, 10, 46, 225
"/Users/hei/IdeaProjects/fyp/requirements.txt", "pip requirements", 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 1, 47
"/Users/hei/IdeaProjects/fyp/routers/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/hei/IdeaProjects/fyp/routers/code_execution.py", "Python", 104, 0, 0, 0, 0, 0, 0, 0, 0, 10, 23, 137
"/Users/hei/IdeaProjects/fyp/routers/lessons.py", "Python", 451, 0, 0, 0, 0, 0, 0, 0, 0, 38, 92, 581
"/Users/hei/IdeaProjects/fyp/routers/pdfs.py", "Python", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 25
"/Users/hei/IdeaProjects/fyp/routers/practical_tests.py", "Python", 115, 0, 0, 0, 0, 0, 0, 0, 0, 11, 41, 167
"/Users/hei/IdeaProjects/fyp/routers/rag.py", "Python", 452, 0, 0, 0, 0, 0, 0, 0, 0, 19, 118, 589
"/Users/hei/IdeaProjects/fyp/services/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/hei/IdeaProjects/fyp/services/pdf_service.py", "Python", 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 39
"/Users/hei/IdeaProjects/fyp/tutor.py", "Python", 51, 0, 0, 0, 0, 0, 0, 0, 0, 7, 11, 69
"/Users/hei/IdeaProjects/fyp/vectorstore/extract_from_faiss.py", "Python", 409, 0, 0, 0, 0, 0, 0, 0, 0, 27, 60, 496
"/Users/hei/IdeaProjects/fyp/vectorstore/faiss_summary.json", "JSON", 0, 0, 0, 766, 0, 0, 0, 0, 0, 0, 0, 766
"/Users/hei/IdeaProjects/fyp/vectorstore/ragDocMapping.js", "JavaScript", 0, 0, 273, 0, 0, 0, 0, 0, 0, 2, 25, 300
"Total", "-", 2142, 46, 3747, 25150, 10, 36, 624, 20, 63, 375, 984, 33197
