"filename", "language", "Python", "JavaScript", "comment", "blank", "total"
"/Users/hei/IdeaProjects/fyp/explain-frontend/src/index.js", "JavaScript", 0, 0, -3, 0, -3
"/Users/hei/IdeaProjects/fyp/routers/rag.py", "Python", 214, 0, 3, 65, 282
"Total", "-", 214, 0, 0, 65, 279
